Hydrocarbon,,,aT1,aT2,aT3,aT4,aT5,aT6,aP1,aP2,aP3,aP4,aP5
c1,,,-292860.0,0,0,0,0,8.2445,-0.89510,59.84650,0.0,0.0,0.0
Ethylene,,,-600076.875,0,0,0,0,7.90595,-0.84677,42.94594,0.0,0.0,0.0
c2,,,-687248.25,0,0,0,0,7.90699,-0.88600,49.02654,0.0,0.0,0.0
Propylene,,,-923484.6875,0,0,0,0,7.71725,-0.87871,47.67624,0.0,0.0,0.0
c3,,,-970688.5625,0,0,0,0,7.71725,-0.67984,0,6.90224,0,0
ic4,,,-1166846.0,0,0,0,0,7.72668,-0.92213,0,0,0,0
nc4,,,-1280557.0,0,0,0,0,7.994986,-0.96455,0,0,0,0
ic5,,,-1481583.0,0,0,0,0,7.58071,-0.93159,0,0,0,0
nc5,,,-1524891.0,0,0,0,0,7.33129,-0.89143,0,0,0,0
c6,,,-1778901.0,0,0,0,0,6.96783,-0.84634,0,0,0,0
c7,,,-2013803.0,0,0,0,0,6.52914,-0.79543,0,0,0,0
c8,,,-2.2935,0,0,0,0,0,-0.87608,0,0,0,0
c9,,,-406104.0212,0,0,0,0,0,-0.67818,0,0,0,0
c10,,,0,-9760.45703,0,0,0,12.80354,-0.7147,0,0,0,0
